budget_year,department,account_type,fund_code,account_category,amount
FY19-20,Mayor,Expense,1010,Civilian Salaries,1381102
FY19-20,Mayor,Expense,1010,Civilian Salaries,38539
FY19-20,City Administrator,Expense,1010,Civilian Salaries,1125901
FY19-20,City Administrator,Expense,1010,Civilian Salaries,43254
FY19-20,City Administrator,Expense,1010,Civilian Salaries,34407
FY19-20,City Administrator,Expense,1010,Civilian Salaries,209264
FY19-20,City Administrator,Expense,1010,Civilian Salaries,269257
FY19-20,City Administrator,Expense,1010,Civilian Salaries,110541
FY19-20,City Administrator,Expense,1010,Civilian Salaries,95289
FY19-20,City Administrator,Expense,1010,Civilian Salaries,275759
FY19-20,City Administrator,Expense,1010,Civilian Salaries,1636319
FY19-20,City Administrator,Expense,1010,Civilian Salaries,247164
FY19-20,City Administrator,Expense,1010,Civilian Salaries,48821
FY19-20,City Administrator,Expense,1010,Civilian Salaries,527042
FY19-20,City Administrator,Expense,1010,Civilian Salaries,142558
FY19-20,City Administrator,Expense,1010,Civilian Salaries,141022
FY19-20,City Administrator,Expense,1010,Civilian Salaries,35202
FY19-20,City Clerk,Expense,1010,Civilian Salaries,45268
FY19-20,City Clerk,Expense,1010,Civilian Salaries,340518
FY19-20,City Clerk,Expense,1010,Civilian Salaries,57635
FY19-20,City Clerk,Expense,1010,Civilian Salaries,52646
FY19-20,City Clerk,Expense,1010,Civilian Salaries,153536
FY19-20,City Attorney,Expense,1010,Civilian Salaries,438423
FY19-20,City Attorney,Expense,1010,Civilian Salaries,451541
FY19-20,City Attorney,Expense,1010,Civilian Salaries,832852
FY19-20,City Attorney,Expense,1010,Civilian Salaries,850883
FY19-20,City Attorney,Expense,1010,Civilian Salaries,477261
FY19-20,City Attorney,Expense,1010,Civilian Salaries,251873
FY19-20,City Attorney,Expense,1010,Civilian Salaries,910769
FY19-20,City Attorney,Expense,1010,Civilian Salaries,70800
FY19-20,City Attorney,Expense,1010,Civilian Salaries,260305
FY19-20,City Attorney,Expense,1010,Civilian Salaries,324304
FY19-20,City Attorney,Expense,1010,Civilian Salaries,403460
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,248960
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,1119370
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,72210
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,82473
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,52823
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,78444
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,518635
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,50566
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,97676
FY19-20,Human Resources Management Department,Expense,1010,Civilian Salaries,78444
FY19-20,City Auditor,Expense,1010,Civilian Salaries,870272
FY19-20,Finance Department,Expense,1010,Civilian Salaries,447162
FY19-20,Finance Department,Expense,1010,Civilian Salaries,84925
FY19-20,Finance Department,Expense,1010,Civilian Salaries,387006
FY19-20,Finance Department,Expense,1010,Civilian Salaries,94932
FY19-20,Finance Department,Expense,1010,Civilian Salaries,290852
FY19-20,Finance Department,Expense,1010,Civilian Salaries,80184
FY19-20,Finance Department,Expense,1010,Civilian Salaries,262798
FY19-20,Finance Department,Expense,1010,Civilian Salaries,27889
FY19-20,Finance Department,Expense,1010,Civilian Salaries,661022
FY19-20,Finance Department,Expense,1010,Civilian Salaries,268961
FY19-20,Finance Department,Expense,1010,Civilian Salaries,40848
FY19-20,Finance Department,Expense,1010,Civilian Salaries,1120864
FY19-20,Finance Department,Expense,1010,Civilian Salaries,62594
FY19-20,Finance Department,Expense,1010,Civilian Salaries,56482
FY19-20,Finance Department,Expense,1010,Civilian Salaries,443009
FY19-20,Finance Department,Expense,1010,Civilian Salaries,17181
FY19-20,Finance Department,Expense,1010,Civilian Salaries,66327
FY19-20,Finance Department,Expense,1010,Civilian Salaries,11705
FY19-20,Finance Department,Expense,1010,Civilian Salaries,602874
FY19-20,Finance Department,Expense,1010,Civilian Salaries,119681
FY19-20,Finance Department,Expense,1010,Civilian Salaries,313196
FY19-20,Finance Department,Expense,1010,Civilian Salaries,37666
FY19-20,Finance Department,Expense,1010,Civilian Salaries,40037
FY19-20,Finance Department,Expense,1010,Civilian Salaries,767812
FY19-20,Finance Department,Expense,1010,Civilian Salaries,73676
FY19-20,Finance Department,Expense,1010,Civilian Salaries,52686
FY19-20,Finance Department,Expense,1010,Civilian Salaries,17298
FY19-20,Finance Department,Expense,1010,Civilian Salaries,134375
FY19-20,Finance Department,Expense,1010,Civilian Salaries,371182
FY19-20,Finance Department,Expense,1010,Civilian Salaries,40894
FY19-20,Finance Department,Expense,1010,Civilian Salaries,390037
FY19-20,Finance Department,Expense,1010,Civilian Salaries,364753
FY19-20,Finance Department,Expense,1010,Civilian Salaries,289838
FY19-20,Police Department,Expense,1010,Civilian Salaries,55330
FY19-20,Police Department,Expense,1010,Civilian Salaries,78444
FY19-20,Police Department,Expense,1010,Civilian Salaries,242613
FY19-20,Police Department,Expense,1010,Civilian Salaries,154272
FY19-20,Police Department,Expense,1010,Civilian Salaries,40894
FY19-20,Police Department,Expense,1010,Civilian Salaries,45324
FY19-20,Police Department,Expense,1010,Civilian Salaries,373126
FY19-20,Police Department,Expense,1010,Civilian Salaries,355913
FY19-20,Police Department,Expense,1010,Civilian Salaries,51245
FY19-20,Police Department,Expense,1010,Civilian Salaries,194028
FY19-20,Police Department,Expense,1010,Civilian Salaries,190409
FY19-20,Police Department,Expense,1010,Civilian Salaries,291959
FY19-20,Police Department,Expense,1010,Civilian Salaries,177526
FY19-20,Police Department,Expense,1010,Civilian Salaries,1389819
FY19-20,Police Department,Expense,1010,Civilian Salaries,40894
FY19-20,Police Department,Expense,1010,Civilian Salaries,91538
FY19-20,Police Department,Expense,1010,Civilian Salaries,45324
FY19-20,Police Department,Expense,1010,Civilian Salaries,45324
FY19-20,Police Department,Expense,1010,Civilian Salaries,45324
FY19-20,Police Department,Expense,1010,Civilian Salaries,204980
FY19-20,Police Department,Expense,1010,Civilian Salaries,51245
FY19-20,Police Department,Expense,1010,Civilian Salaries,45324
FY19-20,Police Department,Expense,1010,Civilian Salaries,46214
FY19-20,Police Department,Expense,1010,Civilian Salaries,46214
FY19-20,Police Department,Expense,1010,Civilian Salaries,82372
FY19-20,Police Department,Expense,1010,Civilian Salaries,2307423
FY19-20,Police Department,Expense,1010,Civilian Salaries,74340
FY19-20,Police Department,Expense,1010,Civilian Salaries,218444
FY19-20,Police Department,Expense,1010,Civilian Salaries,211644
FY19-20,Police Department,Expense,1010,Civilian Salaries,84175
FY19-20,Police Department,Expense,1010,Civilian Salaries,1154522
FY19-20,Police Department,Expense,1010,Civilian Salaries,51245
FY19-20,Police Department,Expense,1010,Civilian Salaries,248784
FY19-20,Police Department,Expense,1010,Civilian Salaries,5406303
FY19-20,Police Department,Expense,1010,Civilian Salaries,62681
FY19-20,Police Department,Expense,1010,Civilian Salaries,45324
FY19-20,Police Department,Expense,1010,Civilian Salaries,126721
FY19-20,Police Department,Expense,1010,Civilian Salaries,522268
FY19-20,Police Department,Expense,1010,Civilian Salaries,141606
FY19-20,Police Department,Expense,1010,Civilian Salaries,642451
FY19-20,Police Department,Expense,1010,Civilian Salaries,138862
FY19-20,Police Department,Expense,1010,Civilian Salaries,43056
FY19-20,Police Department,Expense,1010,Civilian Salaries,211801
FY19-20,Police Department,Expense,1010,Civilian Salaries,141022
FY19-20,Police Department,Expense,1010,Civilian Salaries,43056
FY19-20,Police Department,Expense,1010,Civilian Salaries,745752
FY19-20,Police Department,Expense,1010,Civilian Salaries,70511
FY19-20,Police Department,Expense,1010,Civilian Salaries,102490
FY19-20,Police Department,Expense,1010,Civilian Salaries,43056
FY19-20,Police Department,Expense,1010,Civilian Salaries,375695
FY19-20,Police Department,Expense,1010,Civilian Salaries,251194
FY19-20,Police Department,Expense,1010,Civilian Salaries,194789
FY19-20,Police Department,Expense,1010,Civilian Salaries,46214
FY19-20,Police Department,Expense,1010,Civilian Salaries,187612
FY19-20,Police Department,Expense,1010,Civilian Salaries,197369
FY19-20,Police Department,Expense,1010,Civilian Salaries,46214
FY19-20,Police Department,Expense,1010,Civilian Salaries,48665
FY19-20,Police Department,Expense,1010,Civilian Salaries,241003
FY19-20,Police Department,Expense,1010,Civilian Salaries,374277
FY19-20,Police Department,Expense,1010,Civilian Salaries,51245
FY19-20,Police Department,Expense,1010,Civilian Salaries,173055
FY19-20,Police Department,Expense,1010,Civilian Salaries,255212
FY19-20,Fire Department,Expense,1010,Civilian Salaries,288241
FY19-20,Fire Department,Expense,1010,Civilian Salaries,363434
FY19-20,Fire Department,Expense,1010,Civilian Salaries,464982
FY19-20,Fire Department,Expense,1010,Civilian Salaries,211715
FY19-20,Fire Department,Expense,1010,Civilian Salaries,90361
FY19-20,Fire Department,Expense,1010,Civilian Salaries,312342
FY19-20,Fire Department,Expense,1010,Civilian Salaries,156068
FY19-20,Fire Department,Expense,1010,Civilian Salaries,1491070
FY19-20,Fire Department,Expense,1010,Civilian Salaries,75876
FY19-20,Fire Department,Expense,1010,Civilian Salaries,396494
FY19-20,Fire Department,Expense,1010,Civilian Salaries,58100
FY19-20,Fire Department,Expense,1010,Civilian Salaries,195892
FY19-20,Fire Department,Expense,1010,Civilian Salaries,227330
FY19-20,Fire Department,Expense,1010,Civilian Salaries,42421
FY19-20,Fire Department,Expense,1010,Civilian Salaries,207159
FY19-20,Fire Department,Expense,1010,Civilian Salaries,187224
FY19-20,Fire Department,Expense,1010,Civilian Salaries,61471
FY19-20,Fire Department,Expense,1010,Civilian Salaries,73348
FY19-20,Fire Department,Expense,1010,Civilian Salaries,101022
FY19-20,Fire Department,Expense,1010,Civilian Salaries,123241
FY19-20,Fire Department,Expense,1010,Civilian Salaries,90375
FY19-20,Fire Department,Expense,1010,Civilian Salaries,161975
FY19-20,Fire Department,Expense,1010,Civilian Salaries,55698
FY19-20,Oakland Public Works,Expense,1010,Civilian Salaries,70772
FY19-20,Oakland Public Works,Expense,1010,Civilian Salaries,431034
FY19-20,Oakland Public Works,Expense,1010,Civilian Salaries,11186
FY19-20,Oakland Public Works,Expense,1010,Civilian Salaries,93919
FY19-20,Oakland Public Works,Expense,1010,Civilian Salaries,406809
FY19-20,Oakland Public Works,Expense,1010,Civilian Salaries,20681
FY19-20,Oakland Public Works,Expense,1010,Civilian Salaries,52830
FY19-20,Information Technology,Expense,1010,Civilian Salaries,147711
FY19-20,Information Technology,Expense,1010,Civilian Salaries,225134
FY19-20,Information Technology,Expense,1010,Civilian Salaries,95361
FY19-20,Information Technology,Expense,1010,Civilian Salaries,63897
FY19-20,Information Technology,Expense,1010,Civilian Salaries,146151
FY19-20,Information Technology,Expense,1010,Civilian Salaries,78444
FY19-20,Information Technology,Expense,1010,Civilian Salaries,501607
FY19-20,Information Technology,Expense,1010,Civilian Salaries,86271
FY19-20,Information Technology,Expense,1010,Civilian Salaries,102200
FY19-20,Information Technology,Expense,1010,Civilian Salaries,52690
FY19-20,Information Technology,Expense,1010,Civilian Salaries,24588
FY19-20,Information Technology,Expense,1010,Civilian Salaries,46483
FY19-20,Information Technology,Expense,1010,Civilian Salaries,104080
FY19-20,Information Technology,Expense,1010,Civilian Salaries,664941
FY19-20,Information Technology,Expense,1010,Civilian Salaries,110396
FY19-20,Information Technology,Expense,1010,Civilian Salaries,86271
FY19-20,Information Technology,Expense,1010,Civilian Salaries,90815
FY19-20,Information Technology,Expense,1010,Civilian Salaries,23840
FY19-20,Information Technology,Expense,1010,Civilian Salaries,558091
FY19-20,Information Technology,Expense,1010,Civilian Salaries,26671
FY19-20,Information Technology,Expense,1010,Civilian Salaries,60718
FY19-20,Information Technology,Expense,1010,Civilian Salaries,49812
FY19-20,Information Technology,Expense,1010,Civilian Salaries,243422
FY19-20,Information Technology,Expense,1010,Civilian Salaries,41839
FY19-20,Information Technology,Expense,1010,Civilian Salaries,305104
FY19-20,Information Technology,Expense,1010,Civilian Salaries,158237
FY19-20,Information Technology,Expense,1010,Civilian Salaries,45407
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,256264
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,92457
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,35202
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,23896
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,276266
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,128098
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,92500
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,86899
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,52840
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,63097
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,56899
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,18715
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,23896
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,44382
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,25489
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,66920
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,75253
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,52840
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,18715
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,63097
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,26358
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,34356
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,26358
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,67745
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,34356
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,45205
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,88159
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,23896
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,80795
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,77715
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,52840
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,80405
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,83257
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,35145
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,44382
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,77715
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,77943
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,26358
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,80405
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,91641
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,47792
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,77715
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,52840
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,80405
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,26358
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,92044
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,83257
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,23896
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1010,Civilian Salaries,24848
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,205571
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,402377
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,80013
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,118610
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,39016
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,37437
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,67260
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,46795
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,130439
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,51871
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,97862
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,78463
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,66739
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,81508
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,104176
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,53028
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,55836
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,122575
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,109074
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,122575
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,171638
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,66739
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,96353
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,55836
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,118610
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,102256
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,169985
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,63404
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,167057
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,111221
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,66739
FY19-20,Oakland Public Library,Expense,1010,Civilian Salaries,50385
FY19-20,Race & Equity,Expense,1010,Civilian Salaries,255266
FY19-20,Public Ethics Commission,Expense,1010,Civilian Salaries,466583
FY19-20,Police Commission,Expense,1010,Civilian Salaries,63634
FY19-20,Police Commission,Expense,1010,Civilian Salaries,1038874
FY19-20,Police Commission,Expense,1010,Civilian Salaries,215018
FY19-20,Department of Violence Prevention,Expense,1010,Civilian Salaries,162727
FY19-20,Department of Violence Prevention,Expense,1010,Civilian Salaries,95395
FY19-20,Human Services,Expense,1010,Civilian Salaries,72859
FY19-20,Human Services,Expense,1010,Civilian Salaries,28134
FY19-20,Human Services,Expense,1010,Civilian Salaries,16729
FY19-20,Human Services,Expense,1010,Civilian Salaries,67773
FY19-20,Human Services,Expense,1010,Civilian Salaries,45324
FY19-20,Human Services,Expense,1010,Civilian Salaries,513776
FY19-20,Human Services,Expense,1010,Civilian Salaries,58246
FY19-20,Human Services,Expense,1010,Civilian Salaries,162694
FY19-20,Human Services,Expense,1010,Civilian Salaries,7360
FY19-20,Human Services,Expense,1010,Civilian Salaries,53431
FY19-20,Human Services,Expense,1010,Civilian Salaries,19997
FY19-20,Human Services,Expense,1010,Civilian Salaries,24744
FY19-20,Human Services,Expense,1010,Civilian Salaries,17498
FY19-20,Human Services,Expense,1010,Civilian Salaries,5888
FY19-20,Human Services,Expense,1010,Civilian Salaries,9099
FY19-20,Human Services,Expense,1010,Civilian Salaries,126158
FY19-20,Human Services,Expense,1010,Civilian Salaries,154802
FY19-20,Human Services,Expense,1010,Civilian Salaries,17842
FY19-20,Human Services,Expense,1010,Civilian Salaries,33366
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,28561
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,55330
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,28561
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,93255
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,45324
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,68931
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,78444
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,60448
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,90361
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,371704
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,78444
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,165154
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,53655
FY19-20,Economic & Workforce Development,Expense,1010,Civilian Salaries,53655
FY19-20,City Council,Expense,1010,Civilian Salaries,276223
FY19-20,City Council,Expense,1010,Civilian Salaries,276223
FY19-20,City Council,Expense,1010,Civilian Salaries,276223
FY19-20,City Council,Expense,1010,Civilian Salaries,276223
FY19-20,City Council,Expense,1010,Civilian Salaries,276223
FY19-20,City Council,Expense,1010,Civilian Salaries,276223
FY19-20,City Council,Expense,1010,Civilian Salaries,276223
FY19-20,City Council,Expense,1010,Civilian Salaries,156268
FY19-20,City Council,Expense,1010,Civilian Salaries,276223
FY19-20,Transportation,Expense,1010,Civilian Salaries,45324
FY19-20,Transportation,Expense,1010,Civilian Salaries,40624
FY19-20,Transportation,Expense,1010,Civilian Salaries,417356
FY19-20,Transportation,Expense,1010,Civilian Salaries,2069973
FY19-20,City Administrator,Expense,1030,Civilian Salaries,67260
FY19-20,Finance Department,Expense,1030,Civilian Salaries,34351
FY19-20,Finance Department,Expense,1030,Civilian Salaries,9536
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1030,Civilian Salaries,72210
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1030,Civilian Salaries,26077
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1030,Civilian Salaries,14904
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1030,Civilian Salaries,20163
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1030,Civilian Salaries,7645
FY19-20,"Oakland Parks, Recreation & Youth Development",Expense,1030,Civilian Salaries,12518
