budget_year,department,fund_code,account_type,account_category,amount
FY17,Enterprise Services,5910,Revenue,Other Financing Sources,2201742
FY17,Community Services,5020,Revenue,Other Financing Sources,32653
FY17,Design & Development,1010,Revenue,Other Revenues,87
FY17,Treasury,1010,Revenue,Other Revenues,7000
FY17,Enterprise Services,5140,Expense,Personal Services,729697
FY17,Facilities & Fleet Management,6310,Expense,Personal Services,526012
FY17,Retirement Activities,7050,Expense,Personal Services,307827
FY17,District Court,7400,Expense,Personal Services,4386192
FY17,Fiscal Services,1010,Expense,Personal Services,3322
FY17,Public Services,2020,Expense,Personal Services,3500
FY17,Public Services,2030,Expense,Personal Services,2000
FY17,Facilities & Fleet Management,6610,Expense,Personal Services,5000
FY17,Enterprise Services,5910,Expense,Personal Services,52134
FY17,Public Services,2030,Expense,Other Services and Charges,49323
FY17,Adminitrative Services,1010,Expense,Other Services and Charges,100
FY17,Fiscal Services,1010,Expense,Other Services and Charges,83246
FY17,Enterprise Services,5900,Revenue,Charges for Services,24800
FY17,Public Services,2030,Revenue,Charges for Services,1000
FY17,Enterprise Services,5910,Revenue,Charges for Services,3141
FY17,Facilities & Fleet Management,6610,Revenue,Investment Income & Rentals,6609401
FY17,Design & Development,2530,Revenue,Other Revenues,47500
FY17,Comptroller,1010,Revenue,Other Revenues,40
FY17,Public Services,2030,Expense,Other Services and Charges,1030
FY17,Enterprise Services,1010,Expense,Personal Services,88000
FY17,Enterprise Services,5900,Expense,Other Services and Charges,8885
FY17,Treasury,1010,Expense,Personal Services,48929
FY17,Fire,1010,Expense,Personal Services,44435
FY17,Design & Development,1010,Expense,Personal Services,12929
FY17,Design & Development,2490,Expense,Other Services and Charges,230377
FY17,Police,2610,Expense,Other Services and Charges,117338
FY17,Enterprise Services,5900,Expense,Other Services and Charges,14279
FY17,Enterprise Services,5910,Expense,Other Services and Charges,37517
FY17,Enterprise Services,5900,Expense,Capital Outlays,4162
FY17,Technology & Change Management,6800,Expense,Capital Outlays,9416
FY17,Enterprise Services,5900,Expense,Capital Outlays,4162
FY17,Retirement Activities,7050,Expense,Personal Services,23549
FY17,District Court,7400,Expense,Personal Services,341536
FY17,Fiscal Services,1010,Expense,Personal Services,51017
FY17,Clerk's Office,1010,Expense,Personal Services,36879
FY17,Fiscal Services,1010,Expense,Personal Services,186241
FY17,Human Resources,1010,Expense,Personal Services,55319
FY17,Fire,1010,Expense,Personal Services,172104
FY17,Enterprise Services,5910,Expense,Capital Outlays,6000
FY17,Authorities,2484,Expense,Debt Service,301500
FY17,Authorities,2430,Expense,Debt Service,80287
FY17,Authorities,2483,Expense,Debt Service,123998
FY17,Enterprise Services,5140,Expense,Debt Service,750
FY17,Police,2610,Expense,Other Financing,50000
FY17,Police,2610,Expense,Other Financing,84424
FY17,Facilities & Fleet Management,6310,Expense,Other Financing,-13842
FY17,Authorities,2484,Revenue,Taxes,-303209
FY17,Public Services,2040,Revenue,Taxes,47698
FY17,Design & Development,2490,Revenue,Licenses & Permits,893150
FY17,Enterprise Services,5910,Revenue,Licenses & Permits,20000
FY17,District Court,7400,Revenue,State Grants,4000
FY17,Authorities,2430,Revenue,Charges for Services,107310
FY17,Fiscal Services,1010,Expense,Other Services and Charges,16
FY17,Enterprise Services,5900,Revenue,Charges for Services,966818
FY17,Enterprise Services,1010,Revenue,Charges for Services,631649
FY17,Enterprise Services,5140,Revenue,Charges for Services,143110
FY17,Enterprise Services,5910,Revenue,Charges for Services,51000
FY17,Facilities & Fleet Management,6610,Expense,Personal Services,43369
FY17,Clerk's Office,1010,Expense,Personal Services,61915
FY17,Fiscal Services,1010,Expense,Personal Services,62402
FY17,Fiscal Services,1010,Expense,Personal Services,211013
FY17,Police,1010,Expense,Personal Services,141222
FY17,Fire,1010,Expense,Personal Services,257272
FY17,Public Services,2030,Expense,Other Services and Charges,1000
FY17,Enterprise Services,5140,Expense,Other Services and Charges,4000
FY17,Engineering,6220,Expense,Other Services and Charges,1500
FY17,Executive Office,1010,Expense,Other Services and Charges,1000
FY17,Adminitrative Services,1010,Expense,Other Services and Charges,500
FY17,Authorities,2482,Expense,Other Services and Charges,2100895
FY17,Enterprise Services,5140,Expense,Other Services and Charges,50000
FY17,Fiscal Services,1010,Expense,Other Services and Charges,250
FY17,Fire,1010,Expense,Other Services and Charges,1051
FY17,Authorities,2430,Expense,Personal Services,44202
FY17,Police,2610,Expense,Personal Services,736652
FY17,Executive Office,1010,Expense,Other Services and Charges,4000
FY17,Human Resources,1010,Expense,Other Services and Charges,6000
FY17,Executive Office,1010,Expense,Personal Services,429
FY17,Clerk's Office,1010,Expense,Personal Services,365
FY17,Treasury,1010,Expense,Personal Services,887
FY17,Public Services,2030,Expense,Other Services and Charges,3000
FY17,Public Services,2020,Expense,Other Services and Charges,12000
FY17,Design & Development,1010,Expense,Other Services and Charges,2650
FY17,Police,2610,Expense,Supplies,17700
FY17,Fiscal Services,1010,Expense,Other Services and Charges,89694
FY17,Design & Development,1010,Expense,Other Services and Charges,24200
FY17,Enterprise Services,5910,Expense,Other Services and Charges,300000
FY17,Fire,1010,Expense,Other Services and Charges,11868
FY17,Authorities,2430,Expense,Other Services and Charges,5851
FY17,Facilities & Fleet Management,6610,Expense,Personal Services,57778
FY17,Comptroller,1010,Expense,Personal Services,27503
FY17,Treasury,1010,Expense,Personal Services,77067
FY17,Police,1010,Expense,Personal Services,82749
FY17,Community Services,5020,Expense,Personal Services,5285
FY17,Enterprise Services,5140,Expense,Personal Services,87925
FY17,Design & Development,2440,Expense,Other Services and Charges,1220
FY17,Adminitrative Services,1010,Expense,Other Services and Charges,41305
FY17,Design & Development,1010,Expense,Other Services and Charges,58358
FY17,Public Services,2020,Expense,Other Services and Charges,486673
FY17,Public Services,2030,Expense,Other Services and Charges,117568
FY17,Enterprise Services,5140,Expense,Other Services and Charges,3473
FY17,Enterprise Services,5900,Expense,Other Services and Charges,25042
FY17,Technology & Change Management,6800,Expense,Other Services and Charges,112652
FY17,Executive Office,1010,Expense,Other Services and Charges,9545
FY17,Enterprise Services,5900,Expense,Other Services and Charges,190
FY17,Design & Development,2360,Expense,Other Services and Charges,2500
FY17,Technology & Change Management,6800,Expense,Other Services and Charges,34660
FY17,Fiscal Services,1010,Expense,Other Services and Charges,35270
FY17,Attorney's Office,1010,Expense,Other Services and Charges,77357
FY17,Facilities & Fleet Management,6610,Expense,Other Services and Charges,985
FY17,Enterprise Services,5910,Revenue,Charges for Services,21000
FY17,Enterprise Services,5910,Revenue,Charges for Services,100000
FY17,Public Services,2040,Revenue,Investment Income & Rentals,22257
FY17,Authorities,2470,Revenue,Investment Income & Rentals,-2268
FY17,Authorities,2483,Revenue,Investment Income & Rentals,-20736
FY17,Authorities,2484,Expense,Other Financing,100689
FY17,Facilities & Fleet Management,6310,Expense,Other Financing,181323
FY17,District Court,7400,Expense,Other Financing,-592969
FY17,Executive Office,1010,Expense,Supplies,75
