budget_year,department,account_type,fund_code,account_category,amount
FY22-23,Capital Improvement Projects,Expense,1010,Contract Services,252000
FY22-23,Capital Improvement Projects,Expense,1010,Services & Supplies,0
FY22-23,Capital Improvement Projects,Expense,1010,Contract Services,0
FY22-23,Capital Improvement Projects,Expense,1010,Contract Services,300646
FY22-23,Capital Improvement Projects,Expense,1030,Contract Services,0
FY22-23,Capital Improvement Projects,Revenue,2125,Grants & Subsidies,0
FY22-23,Capital Improvement Projects,Expense,2125,Contract Services,0
FY22-23,Capital Improvement Projects,Expense,2125,Contract Services,0
FY22-23,Capital Improvement Projects,Expense,2159,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2159,Contract Services,0
FY22-23,Capital Improvement Projects,Revenue,2159,Grants & Subsidies,0
FY22-23,Capital Improvement Projects,Expense,2159,Contract Services,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,750000
FY22-23,Capital Improvement Projects,Expense,2211,Contract Services,0
FY22-23,Capital Improvement Projects,Expense,2211,Contract Services,500000
FY22-23,Capital Improvement Projects,Expense,2211,Contract Services,1500000
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,1430000
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,1520000
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,750000
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,500000
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2211,Contract Services,0
FY22-23,Capital Improvement Projects,Expense,2212,Capital Acquistions,264000
FY22-23,Capital Improvement Projects,Expense,2212,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2212,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2212,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2212,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2216,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2216,Capital Acquistions,0
FY22-23,Capital Improvement Projects,Expense,2216,Capital Acquistions,0
